GEO	channel	chamber	sl	layer	cell
26	103	2	2	1	10
26	104	2	2	4	11
26	105	2	2	2	11
26	106	2	2	3	11
26	107	2	2	1	11
26	108	2	2	4	12
26	109	2	2	2	12
26	110	2	2	3	12
26	111	2	2	1	12
26	112	2	2	4	13
26	113	2	2	2	13
26	114	2	2	3	13
26	115	2	2	1	13
26	116	2	2	4	14
26	117	2	2	2	14
26	118	2	2	3	14
26	119	2	2	1	14
26	120	2	2	4	15
26	121	2	2	2	15
26	122	2	2	3	15
26	123	2	2	1	15
26	124	2	2	4	16
26	125	2	2	2	16
26	126	2	2	3	16
26	127	2	2	1	16
